id,type,typeName,commodityCode,commodityNameTH,unitName,curMonth,curYear,priceCur,priceVAT,createdAt
4889022,14,พระนครศรีอยุธยา,1411010100800000,บานประตูไม้อัดสัก  ชนิดใช้ภายใน  หนา 3.5 ซม. ขนาด 70 x 200 ซม.,บาน,11,2566,616.82,,2025-01-27T04:03:34.129043Z
4884198,14,พระนครศรีอยุธยา,1411010100900000,บานประตูไม้อัดสัก  ชนิดใช้ภายใน  หนา 3.5 ซม. ขนาด 80 x 200 ซม.,บาน,11,2566,626.17,,2025-01-27T04:03:34.129043Z
4884948,14,พระนครศรีอยุธยา,1411010200800000,บานประตูไม้อัดสัก  ชนิดใช้ภายนอก  หนา  3.5  ซม.   ขนาด 70 x 200 ซม.,บาน,11,2566,700.93,,2025-01-27T04:03:34.129043Z
4888233,14,พระนครศรีอยุธยา,1411010200900000,บานประตูไม้อัดสัก  ชนิดใช้ภายนอก  หนา  3.5  ซม.   ขนาด 80 x 200 ซม.,บาน,11,2566,841.12,,2025-01-27T04:03:34.129043Z
4887347,14,พระนครศรีอยุธยา,1411020100100000,บานประตูไม้อัดยาง  ชนิดใช้ภายใน  หนา 3.5 ซม.  ขนาด 70 x 200 ซม.,บาน,11,2566,607.48,,2025-01-27T04:03:34.129043Z
4883721,14,พระนครศรีอยุธยา,1411020100200000,บานประตูไม้อัดยาง  ชนิดใช้ภายใน  หนา 3.5 ซม.  ขนาด 80 x 200 ซม.,บาน,11,2566,607.48,,2025-01-27T04:03:34.129043Z
4885525,14,พระนครศรีอยุธยา,1411020100300000,บานประตูไม้อัดยาง  ชนิดใช้ภายนอก  หนา 3.5 ซม. ขนาด 70 x 200 ซม.,บาน,11,2566,794.39,,2025-01-27T04:03:34.129043Z
4886209,14,พระนครศรีอยุธยา,1411020100400000,บานประตูไม้อัดยาง  ชนิดใช้ภายนอก  หนา 3.5 ซม.  ขนาด 80 x 200 ซม.,บาน,11,2566,794.39,,2025-01-27T04:03:34.129043Z
4887596,14,พระนครศรีอยุธยา,1411040100200000,"บานประตูไม้สัก  บานทึบ  ขนาด  80 x 200  ซม.       กรอบบานขนาด  1 1/4"" x 4""  ลูกฟักหนา  1/2""",บาน,11,2566,2803.74,,2025-01-27T04:03:34.129043Z
4887834,14,พระนครศรีอยุธยา,1411050100200000,"บานประตูไม้เนื้อแข็ง    บานทึบ  ขนาด  80 x 200  ซม.  กรอบบานขนาด  1 1/4"" x 4""  ลูกฟักหนา  1/2""",บาน,11,2566,1775.7,,2025-01-27T04:03:34.129043Z
4889268,14,พระนครศรีอยุธยา,1412020100100000,"บานหน้าต่างไม้เนื้อแข็ง  บานทึบ   ขนาด  80 x 110  ซม.  กรอบบานขนาด  1 1/4"" x 4""  ลูกฟักหนา  1/2""",บาน,11,2566,1028.04,,2025-01-27T04:03:34.129043Z
4847266,14,พระนครศรีอยุธยา,1416010100100000,น๊อตหัวกลมสำหรับงานไม้  ขนาดเส้นผ่าศูนย์กลาง 9 มม. ยาว   6 นิ้ว,กก.,11,2566,84.11,,2025-01-27T04:03:34.129043Z
4882985,14,พระนครศรีอยุธยา,1416010100400000,น๊อตหัวกลมสำหรับงานไม้  ขนาดเส้นผ่าศูนย์กลาง 9 มม. ยาว   6 นิ้ว,ตัว,11,2566,14.02,,2025-01-27T04:03:34.129043Z
4852058,14,พระนครศรีอยุธยา,1417010100500000,ตะปูตอกไม้  ชนิดผอม  ขนาด   3  นิ้ว,กก.,11,2566,46.73,,2025-01-27T04:03:34.129043Z
4908143,14,พระนครศรีอยุธยา,1417010101300000,ตะปูตอกไม้   ขนาด   2  นิ้ว  บรรจุลัง นน.สุทธิ 17.6 กก.  ตราหัววัว,ลัง,11,2566,598.13,,2025-01-27T04:03:34.129043Z
4902282,14,พระนครศรีอยุธยา,1417010101400000,ตะปูตอกไม้   ขนาด   3  นิ้ว  บรรจุลัง นน.สุทธิ 17.6 กก.  ตราหัววัว,ลัง,11,2566,579.44,,2025-01-27T04:03:34.129043Z
4909356,14,พระนครศรีอยุธยา,1417010101500000,ตะปูตอกไม้   ขนาด   4  นิ้ว  บรรจุลัง นน.สุทธิ 17.6 กก.  ตราหัววัว,ลัง,11,2566,598.13,,2025-01-27T04:03:34.129043Z
4859287,14,พระนครศรีอยุธยา,1417010101600000,ตะปูตอกไม้   ขนาด   3  นิ้ว  ตราช้าง,กก.,11,2566,616.82,,2025-01-27T04:03:34.129043Z
4852210,14,พระนครศรีอยุธยา,1417020100200000,"ตะปูตอกคอนกรีต   ขนาด 3"" - 4""",กก.,11,2566,61.52,,2025-01-27T04:03:34.129043Z
4846713,14,พระนครศรีอยุธยา,1417030100300000,"ตะปูตอกสังกะสี   ขนาด 1 3/4""   เบอร์ 13",กก.,11,2566,17.8,,2025-01-27T04:03:34.129043Z
4889413,14,พระนครศรีอยุธยา,1417040100100000,"ตะปูเกลียว  ขนาด 3""",ตัว,11,2566,2.5,,2025-01-27T04:03:34.129043Z
4886363,14,พระนครศรีอยุธยา,1417040100200000,"ตะปูเกลียว  ขนาด 4""",ตัว,11,2566,3.12,,2025-01-27T04:03:34.129043Z
4854944,14,พระนครศรีอยุธยา,1419040101300000,บานพับเหล็ก  มีไนล่อนคั่นระหว่างข้อ  หนา 2 มม. ขนาด 4 x 3 นิ้ว,อัน,11,2566,64.72,,2025-01-27T04:03:34.129043Z
4867833,14,พระนครศรีอยุธยา,1419040101400000,บานพับหน้าต่างเหล็กเคลือบสังกะสี  ปรับมุม  ขนาด  10 นิ้ว,ชุด,11,2566,60.75,,2025-01-27T04:03:34.129043Z
4863156,14,พระนครศรีอยุธยา,1419040101500000,บานพับหน้าต่างเหล็กเคลือบสังกะสี  ปรับมุม  ขนาด  12 นิ้ว,ชุด,11,2566,70.09,,2025-01-27T04:03:34.129043Z
4846815,14,พระนครศรีอยุธยา,1419050100400000,กลอนอลูมิเนียม  ขนาด  6 นิ้ว,อัน,11,2566,16.82,,2025-01-27T04:03:34.129043Z
4855079,14,พระนครศรีอยุธยา,1419050100500000,กลอนทองเหลือง   ขนาด  6  นิ้ว,อัน,11,2566,112.15,,2025-01-27T04:03:34.129043Z
4865644,14,พระนครศรีอยุธยา,1501030100100000,ปูนซีเมนต์ปอร์ตแลนด์  ปูนถุง  ประเภท 1  ตราช้าง,ตัน,11,2566,2523.37,,2025-01-27T04:03:34.129043Z
4863213,14,พระนครศรีอยุธยา,1501030200100000,ปูนซีเมนต์ไฮดรอลิก ปูนถุง บรรจุ 50 กก./ถุง ตราช้าง SCG สูตรไฮบริด,ตัน,11,2566,2990.65,,2025-01-27T04:03:34.129043Z
4868997,14,พระนครศรีอยุธยา,1501030200200000,ปูนซีเมนต์ไฮดรอลิก ปูนถุง บรรจุ 50 กก./ถุง ตรา อินทรีเพชรพลัส,ตัน,11,2566,3028.04,,2025-01-27T04:03:34.129043Z
4869096,14,พระนครศรีอยุธยา,1501030200500000,ปูนซีเมนต์ไฮดรอลิก ปูนถุง บรรจุ 50 กก./ถุง ตรา ทีพีไอ ปูนแดง 299,ตัน,11,2566,3028.04,,2025-01-27T04:03:34.129043Z
4863541,14,พระนครศรีอยุธยา,1502030100100000,ปูนซีเมนต์ผสม   ปูนถุง   บรรจุ  50 กก./ถุง  ตราเสือ,ตัน,11,2566,2364.49,,2025-01-27T04:03:34.129043Z
4876227,14,พระนครศรีอยุธยา,1506010100500000,ฟลิ้นโค้ท  เบอร์ 3   ขนาด  3.5  กก.   ตราเชลล์,กระป๋อง,11,2566,289.72,,2025-01-27T04:03:34.129043Z
4849757,14,พระนครศรีอยุธยา,1506010100700000,แชลแลค   ชนิดเกล็ด   สีขาว  ตรา .......,กก.,11,2566,308.41,,2025-01-27T04:03:34.129043Z
4855220,14,พระนครศรีอยุธยา,1506010100800000,แชลแลค   ชนิดเกล็ด   สีเหลือง,กก.,11,2566,196.26,,2025-01-27T04:03:34.129043Z
4892942,14,พระนครศรีอยุธยา,1601010100100000,ทรายหยาบ,ลบ.ม.,11,2566,439.25,,2025-01-27T04:03:34.129043Z
4890388,14,พระนครศรีอยุธยา,1601020100100000,ทรายละเอียด,ลบ.ม.,11,2566,448.6,,2025-01-27T04:03:34.129043Z
4894078,14,พระนครศรีอยุธยา,1602030100100000,หินย่อย  เบอร์  1,ลบ.ม.,11,2566,457.94,,2025-01-27T04:03:34.129043Z
4892047,14,พระนครศรีอยุธยา,1602030100200000,หินย่อย  เบอร์  2,ลบ.ม.,11,2566,518.69,,2025-01-27T04:03:34.129043Z
4893307,14,พระนครศรีอยุธยา,1701010100100000,ทรายถมที่,ลบ.ม.,11,2566,383.18,,2025-01-27T04:03:34.129043Z
4895551,14,พระนครศรีอยุธยา,1703010100100000,ดินลูกรัง,ลบ.ม.,11,2566,350.47,,2025-01-27T04:03:34.129043Z
4894767,14,พระนครศรีอยุธยา,1704010100100000,หินคลุก,ลบ.ม.,11,2566,420.56,,2025-01-27T04:03:34.129043Z
4854667,14,พระนครศรีอยุธยา,1808010100400000,ก๊อกน้ำทองเหลือง (อ้วน)     ขนาด  1/2  นิ้ว,อัน,11,2566,96.33,,2025-01-27T04:03:34.129043Z
4847009,14,พระนครศรีอยุธยา,1808020100200000,ก๊อกน้ำบอลสนาม   ขนาด 1/2 นิ้ว,อัน,11,2566,135.51,,2025-01-27T04:03:34.129043Z
4859439,14,พระนครศรีอยุธยา,1808030101200000,ก๊อกอ่างล้างหน้า  แบบอะครีลิค   ขนาด    1/2   นิ้ว,อัน,11,2566,204.17,,2025-01-27T04:03:34.129043Z
4843473,14,พระนครศรีอยุธยา,1902010100300000,ถังซีเมนต์สำเร็จรูป กลวง สูง 33 ซม.   ศก.  80 ซม.,อัน,11,2566,108.48,,2025-01-27T04:03:34.129043Z
4854854,14,พระนครศรีอยุธยา,1903010100100000,ฝาถังซีเมนต์สำเร็จรูป   ศก.  80  ซม.,อัน,11,2566,96.96,,2025-01-27T04:03:34.129043Z
4882528,14,พระนครศรีอยุธยา,1908010100100000,"ถังเก็บน้ำแสตนเลส ขนาดจุ 1,100 ลิตร รุ่น DMCB 1100  พื้นนูน รวมขาตั้ง ตราเพชร",ใบ,11,2566,13271.03,,2025-01-27T04:03:34.129043Z
4856566,14,พระนครศรีอยุธยา,2001010100500000,สายไฟฟ้าเดินภายในอาคาร  VAF สายแบนแกนคู่    ขนาด  2 x 1.5  ตร.มม.  ยาว  100  ม.,ม้วน,11,2566,1205.61,,2025-01-27T04:03:34.129043Z
4849972,14,พระนครศรีอยุธยา,2001010100600000,สายไฟฟ้าเดินภายในอาคาร  VAF สายแบนแกนคู่    ขนาด  2 x 2.5  ตร.มม.  ยาว  100  ม.,ม้วน,11,2566,1915.89,,2025-01-27T04:03:34.129043Z
4850149,14,พระนครศรีอยุธยา,2001010100900000,สายไฟฟ้า VAF สายแบนแกนคู่ แรงดัน 300 โวลท์ ขนาด 2 x 1.5 ตร.มม. ยาว 100 เมตร  ตราไทยยาซากิ,ม้วน,11,2566,1205.61,,2025-01-27T04:03:34.129043Z
4843615,14,พระนครศรีอยุธยา,2001010101000000,สายไฟฟ้า VAF สายแบนแกนคู่ แรงดัน 300 โวลท์ ขนาด 2 x 1.5 ตร.มม. ยาว 100 เมตร  ตราบางกอกเคเบิล,ม้วน,11,2566,1018.69,,2025-01-27T04:03:34.129043Z
4858945,14,พระนครศรีอยุธยา,2001010101200000,สายไฟฟ้า VAF สายแบนแกนคู่ แรงดัน 300  โวลท์ ขนาด 2 x 2.5 ตร.มม. ยาว 100 เมตร  ตราไทยยาซากิ,ม้วน,11,2566,1915.89,,2025-01-27T04:03:34.129043Z
4843786,14,พระนครศรีอยุธยา,2001010101300000,สายไฟฟ้า VAF สายแบนแกนคู่ แรงดัน 300 โวลท์ ขนาด 2 x 2.5 ตร.มม. ยาว 100 เมตร  ตราบางกอกเคเบิล,ม้วน,11,2566,1644.86,,2025-01-27T04:03:34.129043Z
4859068,14,พระนครศรีอยุธยา,2001010101500000,สายไฟฟ้า VAF สายแบนแกนคู่ แรงดัน 300  โวลท์ ขนาด 2 x 1.5 ตร.มม. ยาว 90 เมตร  ตราไทยยูเนี่ยน,ม้วน,11,2566,859.81,,2025-01-27T04:03:34.129043Z
